latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.882347,33.401085,296.76,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,271.6,1.93,N,2
47.872005,33.448502,326.85,0.53,0.42,3/4/2021,12,N,VIIRS,n,1,273.92,2.72,N,2
47.88456,33.447063,307.28,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,273.44,1.87,N,2
47.094749,37.602421,300.1,0.54,0.51,3/4/2021,12,N,VIIRS,n,1,270.58,2.76,N,2
47.096542,37.595612,338,0.54,0.51,3/4/2021,12,N,VIIRS,n,1,271.08,6.88,N,2
47.140831,37.58107,313.36,0.54,0.51,3/4/2021,12,N,VIIRS,n,1,273.2,3.37,N,2
47.154934,37.565681,314.48,0.54,0.51,3/4/2021,12,N,VIIRS,n,1,269.71,2.66,N,2
47.161091,37.561405,316.77,0.54,0.51,3/4/2021,12,N,VIIRS,n,1,270.97,2.66,N,2
47.205856,37.554214,296.37,0.53,0.5,3/4/2021,12,N,VIIRS,n,1,270.44,1.66,N,2
47.210232,37.556736,298.2,0.53,0.5,3/4/2021,12,N,VIIRS,n,1,269.39,1.77,N,2
47.866356,35.154156,299.78,0.41,0.45,3/4/2021,12,N,VIIRS,n,1,274.3,1.31,N,3
47.867577,35.148907,303.12,0.41,0.45,3/4/2021,12,N,VIIRS,n,1,275.06,1.67,N,3
47.869064,35.161449,324.58,0.41,0.45,3/4/2021,12,N,VIIRS,n,1,275.96,3.63,N,3
47.878403,35.178131,305.47,0.41,0.45,3/4/2021,12,N,VIIRS,n,1,270.31,1.18,N,2
48.473396,34.627792,295.59,0.56,0.43,3/4/2021,12,N,VIIRS,n,1,271.24,0.98,N,2
48.519955,34.628174,303.35,0.56,0.43,3/4/2021,12,N,VIIRS,n,1,272.63,1.69,N,3
48.531803,34.650742,334.45,0.56,0.43,3/4/2021,12,N,VIIRS,n,1,276.76,17.03,N,3
48.472256,34.968945,295.04,0.39,0.44,3/4/2021,12,N,VIIRS,n,1,273.25,1.08,N,2
48.167645,37.703445,308.66,0.51,0.49,3/4/2021,12,N,VIIRS,n,1,274.27,2.4,N,2
48.173626,37.699368,310.57,0.51,0.49,3/4/2021,12,N,VIIRS,n,1,272.61,2.17,N,2
48.168694,37.703129,307.8,0.51,0.49,3/4/2021,12,N,VIIRS,n,1,273.85,2.33,N,2
48.174702,37.699062,305.31,0.51,0.49,3/4/2021,12,N,VIIRS,n,1,271.51,3.18,N,2
48.222744,38.237946,312.96,0.54,0.5,3/4/2021,12,N,VIIRS,n,1,269.74,2.01,N,2
48.464664,38.75864,295.99,0.55,0.51,3/4/2021,12,N,VIIRS,n,1,270.51,1.3,N,2
48.287144,38.089787,327.44,0.41,0.37,3/4/2021,1000,N,VIIRS,n,1,277.42,2.4,D,2
47.488518,38.184845,332.81,0.42,0.38,3/4/2021,1000,N,VIIRS,n,1,285.67,3.49,D,0
47.179676,37.519615,336.76,0.44,0.38,3/4/2021,1000,N,VIIRS,n,1,286.6,13.95,D,0
47.70013,36.212978,333.89,0.47,0.4,3/4/2021,1000,N,VIIRS,n,1,284.04,4.73,D,0
47.969128,37.443977,331.2,0.43,0.38,3/4/2021,1000,N,VIIRS,n,1,282.02,6.28,D,0
48.22403,38.233639,329.75,0.41,0.37,3/4/2021,1000,N,VIIRS,n,1,281.85,2.99,D,2
47.746227,34.559212,328.56,0.54,0.42,3/4/2021,1000,N,VIIRS,n,1,282.71,6.53,D,3
48.426064,33.681782,345.54,0.56,0.43,3/4/2021,1000,N,VIIRS,n,1,280.65,6.94,D,0
48.060387,33.15202,325.64,0.4,0.44,3/4/2021,1000,N,VIIRS,n,1,280.96,1.16,D,0
48.091061,34.104259,328.66,0.55,0.43,3/4/2021,1000,N,VIIRS,n,1,282.19,2.15,D,0
47.86834,33.391502,331.68,0.39,0.44,3/4/2021,1000,N,VIIRS,n,1,284.83,3.76,D,2
47.713085,33.773788,336.06,0.38,0.43,3/4/2021,1000,N,VIIRS,n,1,279.93,2.83,D,0
47.969021,35.465714,330.59,0.49,0.4,3/4/2021,1000,N,VIIRS,n,1,282.36,3.1,D,0
47.751987,34.56329,333.88,0.54,0.42,3/4/2021,1000,N,VIIRS,n,1,282.85,6.44,D,0
47.751446,34.564373,331.22,0.54,0.42,3/4/2021,1000,N,VIIRS,n,1,283.64,6.53,D,3
47.155598,37.529385,331.84,0.44,0.38,3/4/2021,1000,N,VIIRS,n,1,288.34,5.95,D,2
47.09309,37.605728,332.37,0.44,0.38,3/4/2021,1000,N,VIIRS,n,1,285.8,4.49,D,2
45.1292,33.877781,340.83,0.44,0.46,3/4/2021,1000,N,VIIRS,n,1,289.49,4.24,D,0
47.743065,38.464691,330.64,0.41,0.37,3/4/2021,1000,N,VIIRS,n,1,304.81,65.06,D,0
47.509556,36.992237,335.15,0.45,0.39,3/4/2021,1000,N,VIIRS,n,1,286.68,3.37,D,0
47.513023,36.990765,344.33,0.45,0.39,3/4/2021,1000,N,VIIRS,n,1,285.8,32.98,D,0
47.134926,30.954605,367,0.43,0.62,3/4/2021,1136,N,VIIRS,l,1,287.31,16.17,D,0
47.134785,30.948389,354.88,0.43,0.62,3/4/2021,1136,N,VIIRS,n,1,288.5,11.4,D,0
47.12899,30.948954,351.53,0.43,0.62,3/4/2021,1136,N,VIIRS,n,1,288.91,5.63,D,0
47.129131,30.954906,326.03,0.43,0.62,3/4/2021,1136,N,VIIRS,n,1,284.97,5.35,D,0
47.995808,23.803511,331.38,0.41,0.45,3/4/2021,1142,N,VIIRS,n,1,284.32,3.17,D,0
48.010487,36.2784,336.71,0.76,0.77,3/4/2021,1142,N,VIIRS,n,1,280.57,6.78,D,0
47.553223,36.091633,326.98,0.75,0.77,3/4/2021,1142,N,VIIRS,n,1,278.73,12,D,0
47.996151,23.801807,334.36,0.41,0.45,3/4/2021,1142,N,VIIRS,n,1,284.66,2.12,D,0
48.011585,36.271648,326.18,0.76,0.77,3/4/2021,1142,N,VIIRS,n,1,280.37,4.54,D,0
47.154644,37.56287,320.55,0.51,0.41,3/4/2021,2354,N,VIIRS,n,1,271.21,2.11,N,2
47.870136,33.393921,299.15,0.39,0.36,3/4/2021,2354,N,VIIRS,n,1,265.52,1.03,N,2
47.091705,37.60006,305.25,0.52,0.41,3/4/2021,2354,N,VIIRS,n,1,272.76,2.28,N,3
47.093121,37.59343,302.36,0.52,0.41,3/4/2021,2354,N,VIIRS,n,1,271.71,1.58,N,3
47.09539,37.601704,312.47,0.52,0.41,3/4/2021,2354,N,VIIRS,n,1,272.2,3.32,N,2
47.096802,37.595093,299.59,0.52,0.41,3/4/2021,2354,N,VIIRS,n,1,272.73,1.01,N,2
47.137955,37.584156,302.1,0.52,0.41,3/4/2021,2354,N,VIIRS,n,1,272.65,1.84,N,2
47.139378,37.577568,295.11,0.52,0.41,3/4/2021,2354,N,VIIRS,n,1,271.8,0.94,N,2
47.143051,37.579227,301.32,0.52,0.41,3/4/2021,2354,N,VIIRS,n,1,275.57,0.94,N,2
47.15659,37.535118,304.64,0.51,0.41,3/4/2021,2354,N,VIIRS,n,1,274.35,10.29,N,2
47.158016,37.528477,326.89,0.51,0.41,3/4/2021,2354,N,VIIRS,n,1,272.81,7.28,N,2
47.153233,37.569431,299.72,0.51,0.41,3/4/2021,2354,N,VIIRS,n,1,271.95,2.11,N,0
47.161686,37.530151,305.81,0.51,0.41,3/4/2021,2354,N,VIIRS,n,1,272.19,7.28,N,2
47.158318,37.564537,320.26,0.51,0.41,3/4/2021,2354,N,VIIRS,n,1,274.37,3.06,N,2
45.310638,35.129982,335.62,0.62,0.54,3/5/2021,936,N,VIIRS,n,1,292.41,3.54,D,0
45.539284,34.833355,327.34,0.63,0.54,3/5/2021,942,N,VIIRS,n,1,296.34,2.16,D,0
44.772366,33.862659,307.77,0.39,0.36,3/5/2021,2336,N,VIIRS,n,1,273.84,1.18,N,2
50.544231,26.263437,299.8,0.55,0.51,3/5/2021,2336,N,VIIRS,n,1,269.89,1.91,N,2
50.541332,26.261459,306.11,0.33,0.55,3/6/2021,112,N,VIIRS,n,1,269.18,1.33,N,3
50.851952,33.712513,329.96,0.38,0.59,3/6/2021,924,N,VIIRS,n,1,276.25,2.3,D,0
49.843246,36.085701,330.27,0.57,0.52,3/6/2021,1100,N,VIIRS,n,1,278.26,4.46,D,0
46.550716,29.451246,328.58,0.43,0.38,3/6/2021,1100,N,VIIRS,n,1,281.8,3.33,D,0
46.550564,29.449177,328.67,0.43,0.38,3/6/2021,1100,N,VIIRS,n,1,279.85,2.85,D,0
47.091137,37.600891,326.54,0.42,0.38,3/6/2021,2318,N,VIIRS,n,1,273.84,12.57,N,2
46.525803,32.508884,299.66,0.43,0.46,3/6/2021,2318,N,VIIRS,n,1,265.71,0.56,N,0
47.094593,37.601871,310.72,0.42,0.38,3/6/2021,2318,N,VIIRS,n,1,266.11,12.57,N,2
47.093884,37.60746,335.54,0.42,0.38,3/6/2021,2318,N,VIIRS,n,1,272.57,22.73,N,2
47.103626,37.58699,317.59,0.43,0.38,3/6/2021,2318,N,VIIRS,n,1,270.06,2.2,N,2
47.129738,37.634701,306.25,0.42,0.38,3/6/2021,2318,N,VIIRS,n,1,265.9,1.29,N,0
47.153671,37.531166,321.32,0.43,0.38,3/6/2021,2318,N,VIIRS,n,1,266.44,16.37,N,2
47.156288,37.56686,331.48,0.43,0.38,3/6/2021,2318,N,VIIRS,n,1,273.58,5.7,N,2
